site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT-Neu,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.6,30.6,30.6,31.6,32.3,29.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaP,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,40.6,41.5,41.6,41.4,-9999.0,42.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,41.6,41.6,41.5,-9999.0,41.5,42.4,42.6,37.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-How,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,39.6,-9999.0,44.5,-9999.0,-9999.0,-9999.0,40.7,42.5,39.4,42.4,41.7,40.6,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Stp,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,40.2,nan,35.3,40.7,40.5,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Tum,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.4,28.4,27.4,23.5,20.6,28.5,28.5,24.6,26.3,26.4,22.5,27.6,23.3,24.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Bra,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.6,27.4,26.0,-9999.0,-9999.0,-9999.0,-9999.0,28.5,31.3,29.4,27.3,31.5,28.5,31.4,27.7,27.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Lon,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.4,27.4,32.4,25.0,33.0,30.4,34.6,30.5,31.5,30.6,30.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Vie,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.5,31.6,30.3,28.5,31.5,29.3,30.7,-9999.0,24.5,24.7,31.5,32.4,31.0,29.0,25.6,28.5,27.3,28.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BR-Sa1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,38.4,37.5,38.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
