site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT-Neu,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.5,20.7,22.6,21.6,24.6,22.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaP,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,33.5,33.0,33.5,-9999.0,33.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.0,33.7,33.6,-9999.0,33.5,34.6,33.5,27.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-How,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.4,-9999.0,34.5,-9999.0,-9999.0,-9999.0,33.2,32.5,31.5,32.4,32.5,31.4,32.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Stp,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.4,nan,32.5,36.5,32.4,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Tum,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.3,28.4,27.4,23.5,20.5,28.5,28.5,24.6,26.4,26.4,22.4,27.5,23.4,24.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Bra,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.6,21.6,21.5,-9999.0,-9999.0,-9999.0,-9999.0,28.5,21.3,19.4,22.3,23.6,18.5,21.4,25.6,21.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Lon,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.4,18.4,22.4,22.4,23.0,21.4,26.7,20.5,25.4,25.5,20.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Vie,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.4,22.5,20.4,20.5,23.4,21.5,24.2,-9999.0,24.5,22.4,21.5,22.4,22.6,23.8,20.4,21.5,22.4,20.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BR-Sa1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.4,28.4,29.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
