site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT-Neu,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.6,32.5,29.4,31.6,30.6,29.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaP,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.5,31.5,34.5,32.4,-9999.0,33.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,30.5,28.3,-9999.0,nan,nan,nan,31.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-How,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,-9999.0,32.0,-9999.0,-9999.0,-9999.0,nan,nan,31.5,31.7,32.5,29.4,32.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Stp,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,33.6,32.5,33.6,33.4,31.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Tum,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.3,32.5,29.7,31.7,29.6,31.6,30.4,30.4,30.5,29.4,29.5,32.5,32.3,32.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Bra,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.5,30.6,27.3,-9999.0,-9999.0,-9999.0,-9999.0,28.5,29.6,29.4,31.5,28.5,29.4,28.5,29.0,30.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Lon,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.0,29.5,31.6,31.0,29.0,28.7,30.4,30.4,32.6,29.5,28.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Vie,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.5,29.5,27.5,27.7,28.5,26.6,28.5,-9999.0,28.6,27.6,30.5,28.5,29.5,30.0,29.4,27.7,29.5,29.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BR-Sa1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,27.5,25.6,28.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-Cbo,-9999.0,-9999.0,-9999.0,-9999.0,29.4,30.3,31.4,30.6,32.4,28.5,27.7,27.6,-9999.0,-9999.0,27.5,30.4,31.4,32.6,29.5,28.5,32.6,30.5,29.6,30.5,30.3,29.4,33.5,31.4,31.3,-9999.0
CA-DBB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.5,31.6,34.5,31.5,-9999.0
CA-Gro,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.7,-9999.0,31.5,28.4,28.5,28.5,29.6,30.4,32.4,29.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-LP1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.6,29.6,27.4,-9999.0,28.5,-9999.0,-9999.0,31.4,30.7,-9999.0,-9999.0,-9999.0,28.6,-9999.0
CA-Oas,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,32.5,32.6,30.5,32.5,32.6,31.6,32.5,34.3,32.5,32.4,31.5,33.9,31.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-Obs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.3,29.7,30.4,29.5,28.5,30.5,30.5,31.4,31.5,30.5,29.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-Qfo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,31.2,29.7,27.3,30.5,28.3,31.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-TP1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.4,30.6,33.5,33.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
