site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT-Neu,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,27.6,26.5,26.4,27.9,30.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaP,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.5,31.5,31.6,31.4,-9999.0,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-DaS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,30.0,28.3,-9999.0,nan,nan,nan,30.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-How,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,-9999.0,nan,-9999.0,-9999.0,-9999.0,nan,nan,30.5,31.7,nan,27.5,31.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Stp,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,28.6,32.5,33.6,nan,31.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
AU-Tum,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.9,29.4,26.3,nan,27.6,23.6,nan,nan,25.5,25.7,19.5,nan,29.2,23.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Bra,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.5,nan,26.6,-9999.0,-9999.0,-9999.0,-9999.0,27.3,23.0,nan,24.5,23.6,nan,28.4,26.4,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Lon,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,25.1,27.0,22.4,28.0,27.3,28.7,26.6,30.4,29.3,29.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BE-Vie,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,27.5,30.8,24.6,nan,27.3,25.6,28.6,-9999.0,25.4,25.1,nan,23.7,25.4,26.4,nan,26.5,27.4,28.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
BR-Sa1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,25.6,nan,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CA-Cbo,-9999.0,-9999.0,-9999.0,-9999.0,24.6,28.5,27.7,25.5,24.4,29.5,26.6,25.6,-9999.0,-9999.0,29.4,26.4,27.4,26.5,26.8,27.4,23.5,25.4,nan,30.4,28.5,26.5,25.6,nan,27.4,-9999.0
CA-DBB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.5,nan,24.5,nan,-9999.0
